"Cluster","prediction","centile","value","text","cluster"
"2",0.776219612019801,"GENERALM",3.66666666666667,"Vaccine dose (<2 years) ","Mild"
"2",0.776219612019801,"GENERALM",3.77777777777778,"Vaccine dose (<2 years) ","Mild"
"2",0.776219612019801,"GENERALM",3.88888888888889,"Vaccine dose (<2 years) ","Mild"
"2",0.776219612019801,"GENERALM",4,"Vaccine dose (<2 years) ","Mild"
"2",1.81356771073126,"VaccineRisk",0,"Vaccine for risk","Mild"
"2",1.77858748817604,"VaccineRisk",1,"Vaccine for risk","Mild"
"3",1.63446108662579,"TimeLastShot",3.2183908045977,"Time of last shot","High"
"3",1.69869947046418,"TimeLastShot",23.5274584929757,"Time of last shot","High"
"3",1.19505820062291,"TimeLastShot",43.8365261813538,"Time of last shot","High"
"3",1.17643915300386,"TimeLastShot",64.1455938697318,"Time of last shot","High"
"3",1.46245581967052,"TimeLastShot",84.4546615581098,"Time of last shot","High"
"3",1.23478915300386,"TimeLastShot",104.763729246488,"Time of last shot","High"
"3",1.11995581967053,"TimeLastShot",125.072796934866,"Time of last shot","High"
"3",1.10268915300386,"TimeLastShot",145.381864623244,"Time of last shot","High"
"3",1.11508915300386,"TimeLastShot",165.690932311622,"Time of last shot","High"
"3",1.13441296252767,"TimeLastShot",186,"Time of last shot","High"
"3",0.22356839218573,"VaccinePregnant",0,"Maternal immunization","High"
"3",0.0591644706171022,"VaccinePregnant",1,"Maternal immunization","High"
"3",1.06741441107912,"GENERALY",0,"Vaccine dose (2 years+)","High"
"3",1.06541441107912,"GENERALY",0.333333333333333,"Vaccine dose (2 years+)","High"
"3",1.13386982233453,"GENERALY",0.666666666666667,"Vaccine dose (2 years+)","High"
"3",1.13386982233453,"GENERALY",1,"Vaccine dose (2 years+)","High"
"3",1.13386982233453,"GENERALY",1.33333333333333,"Vaccine dose (2 years+)","High"
"3",0.71477806409277,"GENERALY",1.66666666666667,"Vaccine dose (2 years+)","High"
"3",0.71477806409277,"GENERALY",2,"Vaccine dose (2 years+)","High"
"3",0.70927806409277,"GENERALY",2.33333333333333,"Vaccine dose (2 years+)","High"
"3",0.697011397426104,"GENERALY",2.66666666666667,"Vaccine dose (2 years+)","High"
"3",0.697011397426104,"GENERALY",3,"Vaccine dose (2 years+)","High"
"3",0.897324478789184,"CoverageDTP1",0.54,"DTP1 coverage","High"
"3",0.897324478789184,"CoverageDTP1",0.59,"DTP1 coverage","High"
"3",0.888924478789184,"CoverageDTP1",0.64,"DTP1 coverage","High"
"3",0.884924478789184,"CoverageDTP1",0.69,"DTP1 coverage","High"
"3",0.900124478789184,"CoverageDTP1",0.74,"DTP1 coverage","High"
"3",0.805424478789184,"CoverageDTP1",0.79,"DTP1 coverage","High"
"3",0.787891145455851,"CoverageDTP1",0.84,"DTP1 coverage","High"
"3",1.37422274718745,"CoverageDTP1",0.89,"DTP1 coverage","High"
"3",1.27126120872591,"CoverageDTP1",0.94,"DTP1 coverage","High"
"3",0.905196273660979,"CoverageDTP1",0.99,"DTP1 coverage","High"
"3",1.09283443549914,"CoverageDTP3",0.42,"DTP3 coverage","High"
"3",1.09283443549914,"CoverageDTP3",0.483333333333333,"DTP3 coverage","High"
"3",1.09083443549914,"CoverageDTP3",0.546666666666667,"DTP3 coverage","High"
"3",1.09083443549914,"CoverageDTP3",0.61,"DTP3 coverage","High"
"3",1.09483443549914,"CoverageDTP3",0.673333333333333,"DTP3 coverage","High"
"3",0.98550586407057,"CoverageDTP3",0.736666666666667,"DTP3 coverage","High"
"3",0.980330223044929,"CoverageDTP3",0.8,"DTP3 coverage","High"
"3",0.656974667489374,"CoverageDTP3",0.863333333333333,"DTP3 coverage","High"
"3",0.616513129027836,"CoverageDTP3",0.926666666666667,"DTP3 coverage","High"
"3",0.829282176646883,"CoverageDTP3",0.99,"DTP3 coverage","High"
"3",0.699416114930821,"VaccineWP",0,"wP vaccine","High"
"3",0.495124542124542,"VaccineWP",1,"wP vaccine","High"
"3",1.47314442550913,"GENERALM",3,"Vaccine dose (<2 years) ","High"
"3",1.47314442550913,"GENERALM",3.11111111111111,"Vaccine dose (<2 years) ","High"
"3",1.47314442550913,"GENERALM",3.22222222222222,"Vaccine dose (<2 years) ","High"
"3",1.47314442550913,"GENERALM",3.33333333333333,"Vaccine dose (<2 years) ","High"
"3",1.47314442550913,"GENERALM",3.44444444444444,"Vaccine dose (<2 years) ","High"
"3",1.48750882777353,"GENERALM",3.55555555555556,"Vaccine dose (<2 years) ","High"
"3",1.48750882777353,"GENERALM",3.66666666666667,"Vaccine dose (<2 years) ","High"
"3",1.48750882777353,"GENERALM",3.77777777777778,"Vaccine dose (<2 years) ","High"
"3",1.48750882777353,"GENERALM",3.88888888888889,"Vaccine dose (<2 years) ","High"
"3",1.48750882777353,"GENERALM",4,"Vaccine dose (<2 years) ","High"
"3",0.770264251881589,"VaccineAP",0,"aP vaccine","High"
"3",0.814223448893727,"VaccineAP",1,"aP vaccine","High"
"3",0.940702478567184,"VaccineRisk",0,"Vaccine for risk","High"
"3",0.922502478567184,"VaccineRisk",1,"Vaccine for risk","High"
"3",0.909259932224638,"VaccineAdult",0,"Vaccine for adult","High"
"3",0.839693265557971,"VaccineAdult",1,"Vaccine for adult","High"
